Year,Country name,Ladder score,GDP_weight,GDP,GDP growth,GPC,GPC_change,Log_GPC
2015,Ireland,6.94E+00,1.34E+00,2.92E+11,2.52E+01,6.20E+04,2.40E+01,4.79E+00
2016,Ireland,6.91E+00,1.48E+00,2.98E+11,2.04E+00,6.26E+04,8.97E-01,4.80E+00
2017,Ireland,6.98E+00,1.54E+00,3.24E+11,8.94E+00,6.74E+04,7.76E+00,4.83E+00
2018,Ireland,6.98E+00,1.45E+00,3.53E+11,9.03E+00,7.26E+04,7.69E+00,4.86E+00
2019,Ireland,7.02E+00,1.50E+00,3.71E+11,4.92E+00,7.51E+04,3.49E+00,4.88E+00
2020,Ireland,7.09E+00,1.45E+00,3.93E+11,5.87E+00,7.87E+04,4.78E+00,4.90E+00
2021,Ireland,7.09E+00,1.64E+00,4.45E+11,1.35E+01,8.86E+04,1.25E+01,4.95E+00
2015,Luxembourg,6.95E+00,1.56E+00,6.01E+10,2.27E+00,1.05E+05,-1.15E-01,5.02E+00
2016,Luxembourg,6.87E+00,1.70E+00,6.31E+10,4.98E+00,1.08E+05,2.74E+00,5.03E+00
2017,Luxembourg,6.86E+00,1.74E+00,6.39E+10,1.32E+00,1.07E+05,-1.12E+00,5.03E+00
2018,Luxembourg,6.91E+00,1.58E+00,6.52E+10,2.00E+00,1.07E+05,5.57E-02,5.03E+00
2019,Luxembourg,7.09E+00,1.61E+00,6.73E+10,3.28E+00,1.09E+05,1.28E+00,5.04E+00
2020,Luxembourg,7.24E+00,1.54E+00,6.61E+10,-1.78E+00,1.05E+05,-3.40E+00,5.02E+00
2021,Luxembourg,7.32E+00,1.75E+00,7.07E+10,6.89E+00,1.11E+05,5.44E+00,5.04E+00
2021,Luxembourg,7.32E+00,1.75E+00,7.07E+10,6.89E+00,1.11E+05,5.44E+00,5.04E+00
2015,Costa Rica,7.23E+00,9.56E-01,5.64E+10,3.65E+00,1.16E+04,2.53E+00,4.07E+00
2016,Costa Rica,7.09E+00,1.07E+00,5.88E+10,4.20E+00,1.20E+04,3.11E+00,4.08E+00
2017,Costa Rica,7.08E+00,1.11E+00,6.13E+10,4.16E+00,1.24E+04,3.09E+00,4.09E+00
2018,Costa Rica,7.07E+00,1.01E+00,6.29E+10,2.62E+00,1.26E+04,1.60E+00,4.10E+00
2019,Costa Rica,7.17E+00,1.03E+00,6.44E+10,2.42E+00,1.28E+04,1.44E+00,4.11E+00
2020,Costa Rica,7.12E+00,9.81E-01,6.18E+10,-4.05E+00,1.21E+04,-4.93E+00,4.08E+00
2021,Costa Rica,7.07E+00,1.13E+00,6.65E+10,7.58E+00,1.29E+04,6.64E+00,4.11E+00
2015,Israel,7.28E+00,1.23E+00,3.00E+11,2.28E+00,3.58E+04,2.73E-01,4.55E+00
2016,Israel,7.27E+00,1.34E+00,3.13E+11,4.46E+00,3.67E+04,2.43E+00,4.56E+00
2017,Israel,7.21E+00,1.38E+00,3.27E+11,4.38E+00,3.76E+04,2.37E+00,4.57E+00
2018,Israel,6.81E+00,1.30E+00,3.40E+11,3.98E+00,3.83E+04,2.00E+00,4.58E+00
2019,Israel,7.14E+00,1.28E+00,3.53E+11,3.77E+00,3.90E+04,1.81E+00,4.59E+00
2020,Israel,7.13E+00,1.22E+00,3.45E+11,-2.15E+00,3.75E+04,-3.86E+00,4.57E+00
2021,Israel,7.16E+00,1.38E+00,3.74E+11,8.19E+00,3.99E+04,6.47E+00,4.60E+00
2015,Canada,7.43E+00,1.33E+00,1.56E+12,6.59E-01,4.36E+04,-8.93E-02,4.64E+00
2016,Canada,7.40E+00,1.44E+00,1.57E+12,1.00E+00,4.35E+04,-1.36E-01,4.64E+00
2017,Canada,7.32E+00,1.48E+00,1.62E+12,3.04E+00,4.43E+04,1.81E+00,4.65E+00
2018,Canada,7.33E+00,1.33E+00,1.66E+12,2.78E+00,4.49E+04,1.34E+00,4.65E+00
2019,Canada,7.28E+00,1.37E+00,1.70E+12,1.88E+00,4.51E+04,4.27E-01,4.65E+00
2020,Canada,7.23E+00,1.30E+00,1.61E+12,-5.23E+00,4.23E+04,-6.32E+00,4.63E+00
2021,Canada,7.10E+00,1.45E+00,1.68E+12,4.56E+00,4.39E+04,3.99E+00,4.64E+00
2015,Australia,7.28E+00,1.33E+00,1.35E+12,2.17E+00,5.67E+04,7.12E-01,4.75E+00
2016,Australia,7.31E+00,1.44E+00,1.39E+12,2.74E+00,5.74E+04,1.15E+00,4.76E+00
2017,Australia,7.28E+00,1.48E+00,1.42E+12,2.30E+00,5.77E+04,5.87E-01,4.76E+00
2018,Australia,7.27E+00,1.34E+00,1.46E+12,2.87E+00,5.84E+04,1.30E+00,4.77E+00
2019,Australia,7.23E+00,1.37E+00,1.49E+12,2.11E+00,5.88E+04,5.71E-01,4.77E+00
2020,Australia,7.22E+00,1.31E+00,1.49E+12,-3.84E-03,5.80E+04,-1.28E+00,4.76E+00
2021,Australia,7.18E+00,1.45E+00,1.51E+12,1.48E+00,5.88E+04,1.29E+00,4.77E+00
2015,Austria,7.20E+00,1.34E+00,3.82E+11,1.01E+00,4.42E+04,-1.12E-01,4.65E+00
